Player,Age_Start,Age_End,Avg_PA,Seasons_Num,G,AB,R,H,1B,2B,3B,HR,RBI,XBH,SB,CS,BB,SO,TB,GIDP,HBP,SH,SF,IBB,Total_WAR,Avg_WAR,Last_3_WAR,BA,OBP,SLG,OPS,All_Stars,GGs,SSs,Bat_Titles,MVPs,WS_MVP,Pos,1_seasons,2_seasons,3_seasons,4_seasons,status
Ernie Banks,22,37,589,16,2262,8551,1216,2368,1428,380,86,474,1480.0,940,50.0,53.0,695,1088.0,4342,208.0,62.0,33.0,86.0,191.0,69.4,4.3,6.2,0.277,0.359,0.508,0.867,2,1,0,0,2,0,6,11,0,3,2,hof
Evan Longoria,22,37,513,16,1986,7306,1017,1930,1131,431,26,342,1159.0,799,58.0,19.0,730,1696.0,3439,206.0,72.0,1.0,97.0,87.0,59.0,3.7,2.8,0.264,0.365,0.471,0.836,2,3,1,0,0,0,5,12,1,3,0,retired
Felipe Alou,26,39,519,13,1694,6260,849,1826,1298,307,42,179,728.0,528,88.0,58.0,360,563.0,2754,113.0,54.0,28.0,44.0,57.0,40.0,3.1,2.4,0.292,0.352,0.44,0.792,1,0,0,0,0,0,9,12,0,1,0,retired
Frank Howard,24,36,524,13,1761,5990,805,1644,1026,229,32,357,1034.0,618,8.0,8.0,747,1332.0,3008,210.0,30.0,5.0,41.0,134.0,35.7,2.7,2.9,0.274,0.399,0.502,0.901,4,0,0,0,0,0,7,9,0,4,0,retired
Frank Robinson,20,40,559,21,2808,10006,1829,2943,1757,528,72,586,1812.0,1186,204.0,77.0,1420,1532.0,5373,270.0,198.0,17.0,102.0,218.0,107.4,5.1,4.3,0.294,0.443,0.537,0.98,6,7,0,0,2,1,9,11,0,8,2,hof
Frank Thomas,22,40,530,19,2322,8199,1494,2468,1440,495,12,521,1704.0,1028,32.0,23.0,1667,1397.0,4550,226.0,87.0,0.0,121.0,168.0,73.9,3.9,5.6,0.301,0.502,0.555,1.057,3,0,4,0,2,0,10,14,2,1,2,hof
Frank White,22,39,470,18,2324,7859,912,2006,1381,407,58,160,886.0,625,178.0,83.0,412,1035.0,3009,156.0,30.0,101.0,65.0,27.0,35.1,2.0,2.1,0.255,0.308,0.383,0.691,5,8,1,0,0,0,4,10,1,7,0,retired
Fred Lynn,22,38,466,17,1969,6925,1063,1960,1223,388,43,306,1111.0,737,72.0,54.0,857,1116.0,3352,149.0,30.0,25.0,86.0,77.0,50.2,3.0,2.5,0.283,0.404,0.484,0.888,9,4,0,0,1,0,8,8,0,8,1,retired
Fred McGriff,23,39,593,17,2430,8680,1341,2476,1523,438,24,491,1543.0,953,72.0,38.0,1296,1861.0,4435,225.0,39.0,2.0,71.0,169.0,53.4,3.1,6.2,0.285,0.434,0.511,0.945,5,0,2,0,0,0,3,11,2,4,0,hof
Garry Maddox,22,36,452,15,1749,6331,777,1802,1286,337,62,117,754.0,516,248.0,92.0,323,781.0,2614,99.0,36.0,25.0,60.0,60.0,36.699999999999996,2.4,0.8,0.285,0.336,0.413,0.749,0,7,0,0,0,0,8,8,0,7,0,retired
Gary Carter,20,38,492,18,2246,7818,1011,2064,1348,363,31,322,1210.0,716,39.0,42.0,836,982.0,3455,175.0,68.0,33.0,98.0,106.0,70.3,3.9,3.1,0.264,0.372,0.442,0.814,10,3,5,0,0,0,2,7,5,6,0,hof
Gary Gaetti,22,41,491,20,2507,8951,1130,2280,1438,443,39,360,1341.0,842,96.0,65.0,634,1602.0,3881,236.0,96.0,32.0,104.0,57.0,42.2,2.1,1.7,0.255,0.329,0.434,0.763,2,4,1,0,0,0,5,15,1,4,0,retired
Gary Matthews,21,36,457,28,3314,11250,1695,3067,2101,544,80,342,1462.0,966,278.0,110.0,1394,1974.0,4797,251.0,39.0,32.0,91.0,72.0,44.5,1.6,-1.7,0.273,0.395,0.426,0.821,2,0,0,0,0,0,7,26,0,2,0,retired
Gary Sheffield,19,40,512,21,2526,9042,1611,2655,1668,455,25,507,1654.0,987,248.0,99.0,1456,1156.0,4681,232.0,132.0,8.0,106.0,129.0,61.800000000000004,2.9,3.1,0.294,0.457,0.518,0.975,9,0,5,0,0,0,9,12,5,4,0,retired
Gene Tenace,22,36,368,15,1555,4390,653,1060,660,179,20,201,674.0,400,36.0,42.0,984,998.0,1882,77.0,91.0,21.0,39.0,58.0,46.9,3.1,3.6,0.241,0.472,0.429,0.901,1,0,0,0,0,1,2,13,1,1,0,retired
